window_s,fast_recovery_5s_V,initial_slope_0_5_V_per_s,relaxation_area_Vs,label,delta_q_ah
5,0.016659455350783503,0.003291806020449901,0.04524051005112861,storage_loss_0.000Ah,0.0
10,0.016659455350783947,0.003291806020449901,0.1580464369691343,storage_loss_0.000Ah,0.0
30,0.016659455350783947,0.003291806020449901,1.0105566276059648,storage_loss_0.000Ah,0.0
60,0.016659455350783947,0.003291806020449901,2.9741032014992532,storage_loss_0.000Ah,0.0
120,0.016659455350783947,0.003291806020449901,8.073539336656872,storage_loss_0.000Ah,0.0
5,0.01689581358633019,0.0033377847811627784,0.04591017235356432,storage_loss_0.050Ah,0.05
10,0.016895813586330632,0.0033377847811627784,0.16027104066637282,storage_loss_0.050Ah,0.05
30,0.016895813586330632,0.0033377847811627784,1.0242513126287374,storage_loss_0.050Ah,0.05
60,0.016895813586330632,0.0033377847811627784,3.0174681309586817,storage_loss_0.050Ah,0.05
120,0.016895813586330632,0.0033377847811627784,8.206925622454177,storage_loss_0.050Ah,0.05
5,0.017006300129897234,0.003360453433096165,0.04617624201678168,storage_loss_0.100Ah,0.1
10,0.017006300129897678,0.003360453433096165,0.1613599834414699,storage_loss_0.100Ah,0.1
30,0.017006300129897678,0.003360453433096165,1.0330837755476017,storage_loss_0.100Ah,0.1
60,0.017006300129897678,0.003360453433096165,3.049666963022673,storage_loss_0.100Ah,0.1
120,0.017006300129897678,0.003360453433096165,8.319603813059743,storage_loss_0.100Ah,0.1
5,0.01700248097869217,0.003361082346817155,0.046108730711510455,storage_loss_0.135Ah,0.135
10,0.017002480978692613,0.003361082346817155,0.16138443523285054,storage_loss_0.135Ah,0.135
30,0.017002480978692613,0.003361082346817155,1.0359345376448885,storage_loss_0.135Ah,0.135
60,0.017002480978692613,0.003361082346817155,3.0645848667677686,storage_loss_0.135Ah,0.135
120,0.017002480978692613,0.003361082346817155,8.384550922038738,storage_loss_0.135Ah,0.135
5,0.016870717249807488,0.0033386535896600057,0.04560769361249497,storage_loss_0.200Ah,0.2
10,0.01687071724980793,0.0033386535896600057,0.16028918654279092,storage_loss_0.200Ah,0.2
30,0.01687071724980793,0.0033386535896600057,1.035769479077786,storage_loss_0.200Ah,0.2
60,0.01687071724980793,0.0033386535896600057,3.0792420759133474,storage_loss_0.200Ah,0.2
120,0.01687071724980793,0.0033386535896600057,8.4824427233504,storage_loss_0.200Ah,0.2
